sample_ID,Metabolomics_Min,Metabolomics_Max,Metabolomics_Mean,Metabolomics_Median,Metabolomics_Std,Metabolomics_Zeros,Metabolomics_ZerosProportion,Metabolomics_NAs,Metabolomics_NAsProportion,Lipidomics_Min,Lipidomics_Max,Lipidomics_Mean,Lipidomics_Median,Lipidomics_Std,Lipidomics_Zeros,Lipidomics_ZerosProportion,Lipidomics_NAs,Lipidomics_NAsProportion,Microbiota_Min,Microbiota_Max,Microbiota_Mean,Microbiota_Median,Microbiota_Std,Microbiota_Zeros,Microbiota_ZerosProportion,Microbiota_NAs,Microbiota_NAsProportion,EXPRESSION_TPMs_Min,EXPRESSION_TPMs_Max,EXPRESSION_TPMs_Mean,EXPRESSION_TPMs_Median,EXPRESSION_TPMs_Std,EXPRESSION_TPMs_Zeros,EXPRESSION_TPMs_ZerosProportion,EXPRESSION_TPMs_NAs,EXPRESSION_TPMs_NAsProportion
5071431,0.0361990950226244,12693.0551544903,311.03960765687174,5.18485841525922,1507.5655952837874,0,0.0,0.0,0.0,0.0,5563.69174191796,33.58659830422418,1.03842613650169,269.864235842038,2,0.004140786749482402,0.0,0.0,5,115745,3259.9628099173556,697.0,10375.325480804742,0,0.0,0.0,0.0,0.0,266127.9,3.9542220851425545,0.0,742.9341313375392,167609,0.662763845721923,0.0,0.0
5083795,0.0397184514831574,11756.0641062662,277.409464079411,5.93618369553062,1380.7364636297034,0,0.0,0.0,0.0,0.0,9878.53712744316,54.794234792374766,2.15675186286994,464.528973314657,1,0.002070393374741201,0.0,0.0,1,126757,3478.3305785123966,658.5,11779.938545647296,0,0.0,0.0,0.0,0.0,148869.15,3.9542279373967393,0.0,434.12116007735517,194403,0.7687133739827754,0.0,0.0
5130636,0.0281548516842634,9919.14524978343,258.2183734970588,3.40349550457945,1180.3814394439523,0,0.0,0.0,0.0,0.0,9882.27063130672,48.68192671068287,1.05341704305231,478.5858925321171,1,0.002070393374741201,0.0,0.0,1,164903,3436.603305785124,472.5,14073.72356245923,0,0.0,0.0,0.0,0.0,198604.71,3.954228174650404,0.0,591.7494675543236,161627,0.6391096665005892,0.0,0.0
5222550,0.0345022269619221,10087.5397054577,253.8243164727671,4.33619023611461,1183.0526212361447,0,0.0,0.0,0.0,0.0,6340.45735199963,29.760241253554153,0.764098700516553,298.83277577975986,1,0.002070393374741201,0.0,0.0,64,155487,5349.99173553719,755.0,17515.632115055774,0,0.0,0.0,0.0,0.0,217416.13,3.9542218083467344,0.0,667.2371401889673,161480,0.6385283952960529,0.0,0.0
5270515,0.0282290947870272,9692.9107710078,266.99071964689045,5.61900081900082,1179.2822979170182,0,0.0,0.0,0.0,0.0,6786.50161115984,33.46214964712674,0.892432210100685,323.0927019205099,1,0.002070393374741201,0.0,0.0,154,156702,3570.0537190082646,768.5,13098.618069122933,0,0.0,0.0,0.0,0.0,134740.47,3.954230270390261,0.0,450.0142057587148,141062,0.5577910112537269,0.0,0.0
5270792,0.0219559626121322,6974.93502743286,193.38572544871536,3.31843424082351,830.1917225845366,0,0.0,0.0,0.0,0.0,8904.78326777766,43.76943130969858,0.972920680473806,439.1036522085089,1,0.002070393374741201,0.0,0.0,7,82541,2867.900826446281,745.0,7959.842461696092,0,0.0,0.0,0.0,0.0,277856.54,3.954225406692183,0.0,646.8983272777094,190577,0.7535845057613071,0.0,0.0
5328820,0.0266465560583208,9680.46491481375,234.9568915151828,4.90315589868617,1128.1621684752438,0,0.0,0.0,0.0,0.0,8511.24395754891,44.428268643972125,1.61353557020973,400.5052134352058,1,0.002070393374741201,0.0,0.0,0,135171,3046.5495867768595,353.0,12402.830759390321,1,0.004132231404958678,0.0,0.0,0.0,154954.69,3.954223825001904,0.0,495.20529279287496,150391,0.5946799844994346,0.0,0.0
5338289,0.0188193965246848,8051.6892867456,206.5058051681274,5.03980343980344,946.0700754200884,0,0.0,0.0,0.0,0.0,4601.67946602722,27.19901316257028,0.851646941758248,221.9447614470966,1,0.002070393374741201,0.0,0.0,1,129026,3379.5495867768595,477.5,12631.838561163224,0,0.0,0.0,0.0,0.0,246395.88,3.954225485776762,0.0,675.923201307848,171119,0.6766431785649324,0.0,0.0
5483674,0.0442433383609854,8060.16459717008,219.73487282918745,3.56193307647969,969.4812452779654,0,0.0,0.0,0.0,0.0,5431.53879709072,36.61376761347527,1.24695367379819,260.5588715303264,1,0.002070393374741201,0.0,0.0,3,74877,1842.904958677686,300.0,6777.684821430361,0,0.0,0.0,0.0,0.0,203526.08,3.954217893663203,0.0,611.4071641264908,148856,0.5886102477717937,0.0,0.0
549294,0.0156828304372373,11018.9142362114,278.03558903358896,3.56174452793205,1285.6540285561866,0,0.0,0.0,0.0,0.0,8902.19334359607,41.67667568986262,0.744632593031025,431.02050610186575,1,0.002070393374741201,0.0,0.0,1,105682,2465.1570247933882,344.5,9674.92355401689,0,0.0,0.0,0.0,0.0,162733.39,3.9542321684186703,0.0,453.83701675766713,147715,0.5840984760413453,0.0,0.0
5501594,0.0633484162895928,9062.76349985562,262.39720205988095,4.05642690289112,1130.8318750441704,0,0.0,0.0,0.0,0.0,4833.45013345503,34.3737462425423,1.27334830853495,237.31552118078284,1,0.002070393374741201,0.0,0.0,0,84255,2061.7355371900826,352.5,7534.543475908152,6,0.024793388429752067,0.0,0.0,0.0,171452.13,3.954224378593638,0.0,510.09248515173823,149022,0.5892666492680728,0.0,0.0
70113669,0.0250925286995797,6909.13947444412,188.42323947849593,4.1923144963145,841.748067589205,0,0.0,0.0,0.0,0.0,6238.59690338057,33.40103866500988,1.00707167791465,299.9108309476248,1,0.002070393374741201,0.0,0.0,452,1804539,14918.913223140496,2877.5,116290.77218103468,0,0.0,0.0,0.0,0.0,194456.47,3.9542199894029104,0.0,608.321916511596,146202,0.578115732283091,0.0,0.0
70114785,0.0533216234866069,7619.18856482818,204.25089895292044,3.70335855667797,908.1985092103955,0,0.0,0.0,0.0,0.0,4714.54570411304,27.6955609609877,0.924065777935837,226.4070785754425,1,0.002070393374741201,0.0,0.0,12,121338,3440.1570247933882,753.5,11349.097806107118,0,0.0,0.0,0.0,0.0,194603.88,3.954223785459658,0.0,600.436737925541,163428,0.646231227312629,0.0,0.0
70224164,0.0282290947870272,6374.09760323419,201.31553300115513,4.33742833742834,812.3516916697318,0,0.0,0.0,0.0,0.0,4803.95842357573,27.780515769752864,0.881798787077167,234.81643807909393,1,0.002070393374741201,0.0,0.0,67,151523,4301.247933884298,858.0,14232.764649678164,0,0.0,0.0,0.0,0.0,183989.96,3.9542239831709654,0.0,584.0527098910361,154998,0.6128971031341194,0.0,0.0
70631442,0.0250925286995797,7769.18856482818,204.13587636911765,4.93998583516606,922.103045507381,0,0.0,0.0,0.0,0.0,6101.38449487526,32.9227831893482,1.01820265906007,290.6959321609934,1,0.002070393374741201,0.0,0.0,11,49967,2090.4297520661157,595.5,5249.768326564192,0,0.0,0.0,0.0,0.0,304091.38,3.9542242204244262,0.0,798.7047891434938,173625,0.6865524686232176,0.0,0.0
70659178,0.0341880341880342,10235.0274328617,273.32724648027056,6.14926181768929,1225.8528590537776,0,0.0,0.0,0.0,0.0,8764.27691093057,51.46326151511919,1.55198822293415,427.48284785333726,1,0.002070393374741201,0.0,0.0,22,87385,2876.3264462809916,650.0,8594.649857864935,0,0.0,0.0,0.0,0.0,134221.48,3.954227146551739,0.0,370.6263967215226,145858,0.5767554785799583,0.0,0.0
